model,threshold_cm,n,n_approach_success,approach_success_rate
pla_z0_chunk100,5,10,1,0.1
pla_z0_chunk100,10,10,1,0.1
pla_z0_chunk100,15,10,4,0.4
vlm_z0_chunk100,5,9,1,0.1111111111111111
vlm_z0_chunk100,10,9,3,0.3333333333333333
vlm_z0_chunk100,15,9,5,0.5555555555555556
pla_tempagg,5,10,0,0.0
pla_tempagg,10,10,2,0.2
pla_tempagg,15,10,4,0.4
pla_k20_step35k,5,10,0,0.0
pla_k20_step35k,10,10,0,0.0
pla_k20_step35k,15,10,0,0.0
oracle_medium_v1,5,10,0,0.0
oracle_medium_v1,10,10,2,0.2
oracle_medium_v1,15,10,3,0.3
