mjcf_index,name,link,idx_in_link,world_x_m,world_y_m,world_z_m
0,link2_sensor_0,link2,0,-0.0297,0.1130,0.2948
1,link2_sensor_1,link2,1,-0.0813,0.0530,0.4596
2,link2_sensor_2,link2,2,-0.1470,0.0400,0.4151
3,link2_sensor_3,link2,3,0.0304,0.1100,0.3733
4,link2_sensor_4,link2,4,-0.0629,0.0740,0.4016
5,link2_sensor_5,link2,5,-0.0311,0.1170,0.3655
6,link2_sensor_6,link2,6,0.0460,0.1110,0.3139
7,link3_sensor_0,link3,0,-0.1873,0.0510,0.5318
8,link3_sensor_1,link3,1,-0.1441,0.1130,0.6145
9,link3_sensor_2,link3,2,-0.2022,-0.0370,0.4773
10,link3_sensor_3,link3,3,-0.1660,0.1060,0.6506
11,link3_sensor_4,link3,4,-0.1979,0.1060,0.6258
12,link3_sensor_5,link3,5,-0.1696,0.1080,0.5834
13,link3_sensor_6,link3,6,-0.2142,0.0230,0.4766
14,link3_sensor_7,link3,7,-0.1279,0.0860,0.5812
15,link5_sensor_0,link5,0,0.0350,0.0960,0.6973
16,link5_sensor_1,link5,1,0.1810,0.1270,0.7043
17,link5_sensor_2,link5,2,0.0810,0.1040,0.7133
18,link5_sensor_3,link5,3,0.2420,0.1330,0.7043
19,link5_sensor_4,link5,4,0.2060,0.1300,0.6713
20,link5_sensor_5,link5,5,0.1300,0.1150,0.7013
21,link6_sensor_0,link6,0,0.3360,-0.0450,0.6933
22,link6_sensor_1,link6,1,0.3520,-0.0250,0.7363
23,link6_sensor_2,link6,2,0.3590,-0.0020,0.7273
24,link6_sensor_3,link6,3,0.3320,0.0470,0.6993
25,link6_sensor_4,link6,4,0.3510,0.0290,0.7153
26,link6_sensor_5,link6,5,0.3600,-0.0010,0.6953
27,link6_sensor_6,link6,6,0.3490,-0.0330,0.7123
28,link6_sensor_7,link6,7,0.3060,0.0510,0.7333
